rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
62,ChemBri,0.73 +/- 0.03,0.29 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2025-11-10 04:08:52+00:00,
63,skibidi_molecules,0.73 +/- 0.03,0.34 +/- 0.05,0.63 +/- 0.03,0.46 +/- 0.02,2025-11-14 10:19:16+00:00,
64,midwestmols,0.73 +/- 0.03,0.39 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-07 19:43:44+00:00,
65,speller,0.73 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-11 15:14:12+00:00,
66,OminousBuzzing,0.73 +/- 0.03,0.39 +/- 0.04,0.71 +/- 0.03,0.53 +/- 0.02,2025-11-24 09:33:19+00:00,
67,EGabrielle,0.73 +/- 0.03,0.40 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-01 22:21:39+00:00,
68,zpk,0.73 +/- 0.03,0.36 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-20 16:19:09+00:00,
69,MolecularDescriptor,0.73 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-04 18:29:11+00:00,
70,Suryavedha,0.73 +/- 0.02,0.39 +/- 0.04,0.67 +/- 0.03,0.49 +/- 0.02,2025-11-15 00:58:33+00:00,
71,Mart78,0.74 +/- 0.03,0.33 +/- 0.05,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-29 17:17:07+00:00,
72,caithmac,0.74 +/- 0.03,0.39 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-24 08:08:55+00:00,
73,ridge_regression,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:25:32+00:00,
74,xgboost,0.74 +/- 0.03,0.39 +/- 0.04,0.65 +/- 0.03,0.48 +/- 0.02,2025-11-16 12:26:43+00:00,
75,qstn1,0.74 +/- 0.03,0.34 +/- 0.05,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-21 11:20:23+00:00,
76,mordred,0.74 +/- 0.03,0.38 +/- 0.04,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-29 20:04:54+00:00,
77,lic,0.74 +/- 0.02,0.38 +/- 0.03,0.66 +/- 0.03,0.48 +/- 0.02,2025-11-15 02:17:22+00:00,
78,pkzheng,0.74 +/- 0.03,0.35 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-01 14:41:09+00:00,
79,tiuel,0.74 +/- 0.03,0.38 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-14 23:15:59+00:00,
80,all the assays,0.75 +/- 0.02,0.35 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-12 19:36:26+00:00,
81,Jastok,0.75 +/- 0.02,0.35 +/- 0.03,0.64 +/- 0.03,0.47 +/- 0.02,2025-10-28 15:58:03+00:00,
82,roshkjr,0.75 +/- 0.03,0.31 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-29 22:15:30+00:00,
83,KagakuAI,0.75 +/- 0.03,0.32 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-11 08:43:38+00:00,
84,testingv7,0.75 +/- 0.03,0.31 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-10-31 23:38:52+00:00,
85,zero,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-01 18:28:54+00:00,
86,srkarra,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-14 18:20:28+00:00,
